segment,value,trades,win_rate,expectancy_points,expectancy_r,profit_factor,net_points,tp1_hit_rate,tp2_hit_rate,tp3_hit_rate,tp4_hit_rate,stop_rate,average_mfe,median_mfe,average_mae,median_mae,average_score,median_score,average_hold_minutes,year,setup_family,direction,timeframe
timeframe_year_relation,neutral,0,,,,,,,,,,,,,,,,,,2025,,,1h
timeframe_year_relation,unknown,0,,,,,,,,,,,,,,,,,,2025,,,1h
timeframe_relation,aligned,1103,0.2728921124206709,1.258386219401632,0.05025609234699092,1.069954388529093,1388.0,0.46872166817769717,0.3209428830462375,0.20761559383499548,0.1441523118766999,0.7107887579329103,38.829102447869445,22.25,27.298050770625565,27.5,75.83805166199966,74.0,18.097008159564822,,,,30m
timeframe_relation,opposed,115,0.3217391304347826,6.821739130434783,0.2725514410848234,1.4152441445017865,784.5,0.4956521739130435,0.391304347826087,0.3217391304347826,0.16521739130434782,0.6521739130434783,45.608695652173914,28.25,24.860869565217392,26.75,75.06855479349571,74.0,21.68695652173913,,,,30m
timeframe_relation,neutral,0,,,,,,,,,,,,,,,,,,,,,30m
timeframe_relation,unknown,0,,,,,,,,,,,,,,,,,,,,,30m
timeframe_year_relation,aligned,301,0.3122923588039867,1.510797342192691,0.06152601739980257,1.089018302828619,454.75,0.5182724252491694,0.3388704318936877,0.19601328903654486,0.10963455149501661,0.6710963455149501,38.98421926910299,27.5,24.725083056478404,26.75,75.77912189114755,73.96253033178772,23.33887043189369,2023,,,30m
timeframe_year_relation,opposed,43,0.3953488372093023,12.75,0.5072216076003847,1.875099760574621,548.25,0.4883720930232558,0.3953488372093023,0.32558139534883723,0.18604651162790697,0.5813953488372093,44.93604651162791,23.5,22.6453488372093,26.25,75.14259523296577,74.0,26.325581395348838,2023,,,30m
timeframe_year_relation,neutral,0,,,,,,,,,,,,,,,,,,2023,,,30m
timeframe_year_relation,unknown,0,,,,,,,,,,,,,,,,,,2023,,,30m
timeframe_year_relation,aligned,352,0.26704545454545453,-0.25142045454545453,-0.00962732663984537,0.9861143798540833,-88.5,0.4403409090909091,0.3039772727272727,0.20170454545454544,0.1278409090909091,0.7130681818181818,36.4765625,19.875,25.977982954545453,27.0,75.83833086336243,74.0,19.59375,2024,,,30m
timeframe_year_relation,opposed,36,0.3333333333333333,4.298611111111111,0.1742468499427263,1.2663511187607572,154.75,0.4722222222222222,0.3611111111111111,0.2777777777777778,0.1111111111111111,0.6388888888888888,41.53472222222222,22.0,23.52777777777778,26.875,75.64967406179747,74.91472999184202,27.416666666666668,2024,,,30m
timeframe_year_relation,neutral,0,,,,,,,,,,,,,,,,,,2024,,,30m
timeframe_year_relation,unknown,0,,,,,,,,,,,,,,,,,,2024,,,30m
timeframe_year_relation,aligned,450,0.2511111111111111,2.2705555555555557,0.08955990577470221,1.1222262097015372,1021.75,0.4577777777777778,0.32222222222222224,0.22,0.18,0.7355555555555555,40.565555555555555,22.625,30.051666666666666,29.0,75.877250733437,74.0,13.42,2025,,,30m
timeframe_year_relation,opposed,36,0.2222222222222222,2.263888888888889,0.09055555555555565,1.1195452878621195,81.5,0.5277777777777778,0.4166666666666667,0.3611111111111111,0.19444444444444445,0.75,50.486111111111114,36.125,28.84027777777778,29.25,74.3989983336047,73.21446013986642,10.416666666666666,2025,,,30m
timeframe_year_relation,neutral,0,,,,,,,,,,,,,,,,,,2025,,,30m
timeframe_year_relation,unknown,0,,,,,,,,,,,,,,,,,,2025,,,30m
timeframe_relation,aligned,917,0.2802617230098146,2.407033805888768,0.09547991859897159,1.1353186402231554,2207.25,0.48964013086150493,0.3326063249727372,0.2202835332606325,0.15267175572519084,0.7033805888767721,40.44465648854962,24.75,26.936750272628135,27.5,75.69274478005617,74.0,18.4154852780807,,,,15m
timeframe_relation,opposed,301,0.2691029900332226,-0.11544850498338871,-0.0025887035607018915,0.9935876735710661,-34.75,0.4152823920265781,0.3122923588039867,0.21262458471760798,0.12624584717607973,0.7109634551495017,36.49750830564784,18.75,27.467607973421927,27.0,75.98673694726288,74.206336834289,18.498338870431894,,,,15m
timeframe_relation,neutral,0,,,,,,,,,,,,,,,,,,,,,15m
timeframe_relation,unknown,0,,,,,,,,,,,,,,,,,,,,,15m
timeframe_year_relation,aligned,243,0.3333333333333333,4.118312757201646,0.1645651147081325,1.2480173482032217,1000.75,0.5349794238683128,0.35802469135802467,0.20987654320987653,0.13168724279835392,0.6584362139917695,40.82921810699588,30.0,24.473251028806583,26.75,75.51633223312147,73.8546329723225,23.691358024691358,2023,,,15m
timeframe_year_relation,opposed,101,0.297029702970297,0.022277227722772276,0.0033716583176329478,1.0013235294117646,2.25,0.46534653465346537,0.31683168316831684,0.21782178217821782,0.0891089108910891,0.6633663366336634,37.07920792079208,20.5,24.445544554455445,26.5,76.1403816990537,74.55657434186199,23.762376237623762,2023,,,15m
timeframe_year_relation,neutral,0,,,,,,,,,,,,,,,,,,2023,,,15m
timeframe_year_relation,unknown,0,,,,,,,,,,,,,,,,,,2023,,,15m
