component,dimension,value,with_trades,without_trades,with_expectancy,without_expectancy,expectancy_lift,with_pf,without_pf,pf_lift
signal_to_noise,year,2023,95,249,1.5868421052631578,3.4226907630522088,-1.835848657789051,1.0914606400728044,1.2085397932342326,-0.11707915316142814
signal_to_noise,year,2024,119,269,1.023109243697479,-0.20631970260223048,1.2294289462997094,1.0562615526802217,0.9884145705041227,0.06784698217609897
signal_to_noise,year,2025,163,323,0.4187116564417178,3.2043343653250775,-2.7856227088833596,1.022267536704731,1.1731855260405772,-0.15091798933584633
signal_to_noise,direction,long,212,441,-3.8372641509433962,6.192743764172335,-10.030007915115732,0.7984515329823475,1.3763522359264109,-0.5779007029440634
signal_to_noise,direction,short,165,400,6.995454545454545,-2.248125,9.243579545454544,1.4062829989440337,0.8816309069369488,0.524652092007085
signal_to_noise,family,reversal,256,777,-0.4697265625,1.53989703989704,-2.00962360239704,0.9744705695026803,1.086575857889691,-0.11210528838701062
signal_to_noise,family,continuation,121,64,3.809917355371901,9.92578125,-6.115863894628099,1.2127365020766037,1.6148076457778853,-0.4020711437012816
room_to_target,overall,all,1203,15,1.5791770573566084,18.183333333333334,-16.604156275976724,1.0883460831957588,2.2002200220022003,-1.1118739388064416
room_to_target,year,2023,341,3,3.1634897360703813,-25.25,28.41348973607038,1.1906171312453064,0.0,1.1906171312453064
room_to_target,year,2024,379,9,-0.2849604221635884,19.36111111111111,-19.6460715332747,0.9841833559111046,2.38019801980198,-1.3960146638908755
room_to_target,year,2025,483,3,1.9233954451345756,58.083333333333336,-56.15993788819876,1.103039041703638,7.900990099009901,-6.797951057306263
room_to_target,direction,long,646,7,2.987229102167183,-1.75,4.737229102167182,1.1728160121792863,0.902970297029703,0.26984571514958333
room_to_target,direction,short,557,8,-0.05385996409335727,35.625,-35.678859964093355,0.9970978040050305,3.8217821782178216,-2.824684374212791
room_to_target,family,reversal,1018,15,0.7892927308447937,18.183333333333334,-17.39404060248854,1.0438993075000342,2.2002200220022003,-1.1563207145021661
room_to_target,family,continuation,185,0,5.925675675675675,,,1.3425513631747519,,
key_location,overall,all,1218,0,1.7836617405582922,,,1.0999735397995927,,
key_location,year,2023,344,0,2.9156976744186047,,,1.1748910200523104,,
key_location,year,2024,388,0,0.17074742268041238,,,1.0095262060536343,,
key_location,year,2025,486,0,2.2700617283950617,,,1.1220240564081294,,
key_location,direction,long,653,0,2.9364471669218988,,,1.1697992074561112,,
key_location,direction,short,565,0,0.45132743362831856,,,1.02442996742671,,
key_location,family,reversal,1033,0,1.0418683446272992,,,1.0580799222902781,,
key_location,family,continuation,185,0,5.925675675675675,,,1.3425513631747519,,
penalty_data_quality,overall,all,0,1218,,1.7836617405582922,,,1.0999735397995927,
penalty_data_quality,year,2023,0,344,,2.9156976744186047,,,1.1748910200523104,
penalty_data_quality,year,2024,0,388,,0.17074742268041238,,,1.0095262060536343,
penalty_data_quality,year,2025,0,486,,2.2700617283950617,,,1.1220240564081294,
penalty_data_quality,direction,long,0,653,,2.9364471669218988,,,1.1697992074561112,
penalty_data_quality,direction,short,0,565,,0.45132743362831856,,,1.02442996742671,
penalty_data_quality,family,reversal,0,1033,,1.0418683446272992,,,1.0580799222902781,
penalty_data_quality,family,continuation,0,185,,5.925675675675675,,,1.3425513631747519,
penalty_failed_retest,overall,all,0,1218,,1.7836617405582922,,,1.0999735397995927,
penalty_failed_retest,year,2023,0,344,,2.9156976744186047,,,1.1748910200523104,
penalty_failed_retest,year,2024,0,388,,0.17074742268041238,,,1.0095262060536343,
penalty_failed_retest,year,2025,0,486,,2.2700617283950617,,,1.1220240564081294,
penalty_failed_retest,direction,long,0,653,,2.9364471669218988,,,1.1697992074561112,
penalty_failed_retest,direction,short,0,565,,0.45132743362831856,,,1.02442996742671,
penalty_failed_retest,family,reversal,0,1033,,1.0418683446272992,,,1.0580799222902781,
