component_a,component_b,phi,jaccard,a_active,b_active,both_active,a_when_b,b_when_a,neither_expectancy,a_only_expectancy,b_only_expectancy,both_expectancy,a_added_to_b_expectancy,b_added_to_a_expectancy,a_added_to_b_pf,b_added_to_a_pf,abs_phi
room_to_target,penalty_htf_conflict,,0.0,1203,0,0,,0.0,18.183333333333334,1.5791770573566084,,,,,,,
room_to_target,penalty_stale_setup,,0.0,1203,0,0,,0.0,18.183333333333334,1.5791770573566084,,,,,,,
key_location,penalty_data_quality,,0.0,1218,0,0,,0.0,,1.7836617405582922,,,,,,,
key_location,penalty_failed_retest,,0.0,1218,0,0,,0.0,,1.7836617405582922,,,,,,,
key_location,penalty_htf_conflict,,0.0,1218,0,0,,0.0,,1.7836617405582922,,,,,,,
key_location,penalty_stale_setup,,0.0,1218,0,0,,0.0,,1.7836617405582922,,,,,,,
penalty_data_quality,penalty_major_obstacle,,0.0,0,15,0,0.0,,1.5791770573566084,,18.183333333333334,,,,,,
penalty_data_quality,penalty_snr_conflict,,0.0,0,100,0,0.0,,2.4932915921288012,,-6.15,,,,,,
penalty_failed_retest,penalty_major_obstacle,,0.0,0,15,0,0.0,,1.5791770573566084,,18.183333333333334,,,,,,
penalty_failed_retest,penalty_snr_conflict,,0.0,0,100,0,0.0,,2.4932915921288012,,-6.15,,,,,,
penalty_htf_conflict,penalty_major_obstacle,,0.0,0,15,0,0.0,,1.5791770573566084,,18.183333333333334,,,,,,
penalty_htf_conflict,penalty_snr_conflict,,0.0,0,100,0,0.0,,2.4932915921288012,,-6.15,,,,,,
penalty_major_obstacle,penalty_stale_setup,,0.0,15,0,0,,0.0,1.5791770573566084,18.183333333333334,,,,,,,
penalty_snr_conflict,penalty_stale_setup,,0.0,100,0,0,,0.0,2.4932915921288012,-6.15,,,,,,,
penalty_data_quality,penalty_failed_retest,,,0,0,0,,,1.7836617405582922,,,,,,,,
penalty_data_quality,penalty_htf_conflict,,,0,0,0,,,1.7836617405582922,,,,,,,,
penalty_data_quality,penalty_stale_setup,,,0,0,0,,,1.7836617405582922,,,,,,,,
penalty_failed_retest,penalty_htf_conflict,,,0,0,0,,,1.7836617405582922,,,,,,,,
penalty_failed_retest,penalty_stale_setup,,,0,0,0,,,1.7836617405582922,,,,,,,,
penalty_htf_conflict,penalty_stale_setup,,,0,0,0,,,1.7836617405582922,,,,,,,,
